state,year,share_inperson,share_virtual,share_hybrid,participation,pass,case_rate_per100k_zip,enrollment_total
CO,2016,0.8586572408676147,0.060070671141147614,0.08127208799123764,86.28333282470703,0.3296666717529297,29.046768188476563,1132
CO,2016,0.9399293065071106,0.060070671141147614,0,91.75,0.24600000381469728,31.046859741210938,8723
CO,2016,0,0.27561837434768677,0.7243816256523132,95.866668701171875,0.25266666412353517,31.53898048400879,18657
CO,2016,0,0.5759717226028442,0.42402827739715576,98.58333587646484,0.095,31.543411254882813,5725
CO,2016,0.21554769575595856,0.060070671141147614,0.7243816256523132,96.3499984741211,0.32983333587646485,29.8106746673584,1001
CO,2016,0.21554769575595856,0.46643108129501343,0.3180212080478668,97.26667022705078,0.3729999923706055,31.544958114624023,35817
CO,2016,0.8586572408676147,0.14134275913238525,0,99.5,0.12199999809265137,31.544958114624023,7864
CO,2016,0,0.5759717226028442,0.42402827739715576,98.83333587646484,0.15949999809265136,31.543411254882813,5725
CO,2016,0.8586572408676147,0.14134275913238525,0,98.9000015258789,0.19183332443237305,31.544958114624023,7864
CO,2016,0.8586572408676147,0.060070671141147614,0.08127208799123764,93.55000305175781,0.23633333206176757,29.046768188476563,1132
CO,2016,0.9399293065071106,0.060070671141147614,0,91.8499984741211,0.16950000762939454,31.046859741210938,8723
CO,2016,0.21554769575595856,0.060070671141147614,0.7243816256523132,96.1500015258789,0.3559999847412109,29.8106746673584,1001
CO,2016,0,0.27561837434768677,0.7243816256523132,95.18333435058594,0.31433332443237305,31.53898048400879,18657
CO,2016,0.21554769575595856,0.46643108129501343,0.3180212080478668,97.21666717529297,0.3275,31.544958114624023,35817
CO,2017,0.8586572408676147,0.14134275913238525,0,99.25,0.22433332443237305,31.544958114624023,7864
CO,2017,0.8586572408676147,0.060070671141147614,0.08127208799123764,97.81666564941406,0.30116666793823244,29.046768188476563,1132
CO,2017,0.21554769575595856,0.060070671141147614,0.7243816256523132,94.58333587646484,0.32549999237060545,29.8106746673584,1001
CO,2017,0.21554769575595856,0.060070671141147614,0.7243816256523132,93.8499984741211,0.40516666412353514,29.8106746673584,1001
CO,2017,0,0.27561837434768677,0.7243816256523132,95.44999694824219,0.34816665649414064,31.53898048400879,18657
CO,2017,0.8586572408676147,0.14134275913238525,0,99.19999694824219,0.12966666221618653,31.544958114624023,7864
CO,2017,0,0.5759717226028442,0.42402827739715576,98.23332977294922,0.10699999809265137,31.543411254882813,5725
CO,2017,0.21554769575595856,0.46643108129501343,0.3180212080478668,97.1500015258789,0.3396666717529297,31.544958114624023,35817
CO,2017,0,0.5759717226028442,0.42402827739715576,98.18333435058594,0.18,31.543411254882813,5725
CO,2017,0.8586572408676147,0.060070671141147614,0.08127208799123764,98.133331298828125,0.17733333587646485,29.046768188476563,1132
CO,2017,0.21554769575595856,0.46643108129501343,0.3180212080478668,97.0999984741211,0.4243333435058594,31.544958114624023,35817
CO,2017,0,0.27561837434768677,0.7243816256523132,95.53333282470703,0.2866666603088379,31.53898048400879,18657
