district_id,leaid,share_inperson,share_virtual,share_hybrid,subject,year,pass3,pass4,pass5,pass6,pass7,pass8,state,participation,pass,cts_pass_below,cts_pass_partially,cts_pass_approaching,cts_pass_proficient,cts_pass_advanced,participate_denom,missing_lunch,share_black,share_white,share_hisp,share_lunch,share_other,share_lunch_updated,share_ell,missing_ell,share_ell_updated,enrollment_total,case_rate_per100k_zip,cases_aug,max_cases,countyfips,commute_zone,trump_vote_share,biden_vote_share,unemployment
96,4400065,0.5394362211227417,0,0.40444499254226685,ela,2019,0.606,0.5670000000000001,0.523,0.519,0.43200000000000005,0.483,RI,97.6500015258789,0.5216666793823242,0.3825,NA,NA,41.61666488647461,0.10550000190734864,1532,0,0.021967822685837746,0.8561262488365173,0.057549506425857544,0.2973391115665436,0.06435642391443253,0.2973391115665436,0.021039603278040886,0,0.021039603278040886,3025,29.977388381958008,3.1825268268585205,127.00639343261719,44001,73,34.295265197753906,63.522789001464844,3.2000000000000006
01,4400030,0.4008772671222687,0,0.5435671806335449,math,2019,0.65,0.5489999999999999,0.579,0.726,0.747,0.613,RI,99.28333282470703,0.644000015258789,0.3075,NA,NA,50.849998474121094,0.13583333015441895,1563,0,0.009273108094930649,0.8441519737243652,0.03380197286605835,0.04397248104214668,0.11277294158935547,0.04397248104214668,0.023631468415260315,0,0.023631468415260315,3369,29.977388381958008,3.1825268268585205,127.00639343261719,44001,73,34.295265197753906,63.522789001464844,3.2000000000000006
01,4400030,0.4008772671222687,0,0.5435671806335449,ela,2019,0.728,0.622,0.604,0.8059999999999999,0.797,0.8009999999999999,RI,99.133331298828125,0.7263333129882813,0.2375,NA,NA,54.43333435058594,0.18200000762939453,1563,0,0.009273108094930649,0.8441519737243652,0.03380197286605835,0.04397248104214668,0.11277294158935547,0.04397248104214668,0.023631468415260315,0,0.023631468415260315,3369,29.977388381958008,3.1825268268585205,127.00639343261719,44001,73,34.295265197753906,63.522789001464844,3.2000000000000006
96,4400065,0.5394362211227417,0,0.40444499254226685,math,2019,0.5329999999999999,0.511,0.47700000000000004,0.36200000000000004,0.276,0.354,RI,96.91666412353516,0.4188333511352539,0.4526666641235352,NA,NA,35.75,0.06116666793823242,1532,0,0.021967822685837746,0.8561262488365173,0.057549506425857544,0.2973391115665436,0.06435642391443253,0.2973391115665436,0.021039603278040886,0,0.021039603278040886,3025,29.977388381958008,3.1825268268585205,127.00639343261719,44001,73,34.295265197753906,63.522789001464844,3.2000000000000006
38,4401140,0.2532961964607239,0,0.6911482214927673,math,2019,0.212,0.126,0.122,0.233,0.16,0.163,RI,98.31666564941406,0.16933332443237303,0.5413333511352539,NA,NA,16.183332443237305,0.007333333492279053,1657,0,0.05420508608222008,0.7331656813621521,0.14613020420074463,0.4898016154766083,0.0664990246295929,0.4898016154766083,0.02095557376742363,0,0.02095557376742363,3531,31.533212661743164,4.956332206726074,107.21328735351563,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
97,4400360,0.5892549753189087,0,0.3551895022392273,ela,2019,0.5539999999999999,0.5579999999999999,0.304,0.313,0.6859999999999999,0.742,RI,99.55000305175781,0.5261666488647461,0.42983333587646483,NA,NA,46.93333435058594,0.05666666507720947,719,0,0.01645338162779808,0.9092016816139221,0.04692260921001434,0.15478366613388062,0.027422327548265457,0.15478366613388062,0.010359536856412888,0,0.010359536856412888,1548,31.533214569091797,4.956332206726074,107.21328735351563,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
06,4400210,0.24636130034923553,0.002007341245189309,0.6960757970809937,math,2019,0.434,0.341,0.34299999999999997,0.311,0.36700000000000005,0.282,RI,98.66666412353516,0.34633335113525393,0.5361666488647461,NA,NA,31.483333587646484,0.03116666555404663,2138,0,0.01926741562783718,0.9032394886016846,0.043828073889017105,0.30785518884658813,0.03366502374410629,0.30785518884658813,0.007410543970763683,0,0.007410543970763683,4359,31.53570556640625,4.958338737487793,107.22167205810547,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
09,4400300,0.49327370524406433,0,0.45117074251174927,ela,2019,0.7290000000000001,0.703,0.638,0.565,0.539,0.6890000000000001,RI,99.5,0.6438333129882813,0.30350000381469727,NA,NA,54.43333435058594,0.09949999809265136,1211,0,0.004733727779239416,0.822090744972229,0.06666667014360428,0.049309663474559784,0.10650885850191116,0.049309663474559784,0.008284023962914944,0,0.008284023962914944,2515,31.533214569091797,4.956332206726074,107.21328735351563,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
35,4401110,0.3770805299282074,0.3062303960323334,0.26066306233406067,math,2019,0.316,0.22899999999999998,0.298,0.252,0.284,0.207,RI,98.41666412353516,0.26433332443237306,0.5738333511352539,NA,NA,24.799999237060547,0.01649999976158142,3918,0,0.026931818574666977,0.7768181562423706,0.10954545438289642,0.285681813955307,0.0867045670747757,0.285681813955307,0.017954545095562935,0,0.017954545095562935,7880,31.533212661743164,4.956332206726074,107.2132797241211,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
97,4400360,0.5892549753189087,0,0.3551895022392273,math,2019,0.46299999999999997,0.584,0.518,0.306,0.504,0.433,RI,99.55000305175781,0.46799999237060547,0.4754999923706055,NA,NA,43.25,0.03566666603088379,719,0,0.01645338162779808,0.9092016816139221,0.04692260921001434,0.15478366613388062,0.027422327548265457,0.15478366613388062,0.010359536856412888,0,0.010359536856412888,1548,31.533214569091797,4.956332206726074,107.21328735351563,44003,73,45.11724853515625,52.756919860839844,3.433333333333333
