"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","7 - June 11-16, 2020","118676566","1616648","47.8","0.6","248365811","249,170,916"
" -> States","","","","","","","--"
"Alabama","7 - June 11-16, 2020","1765955","143326","47.8","3.9","3692982","3,717,378"
"Alaska","7 - June 11-16, 2020","257419","27876","49.1","5.3","523895","524,925"
"Arizona","7 - June 11-16, 2020","2458322","209493","44.1","3.7","5570534","5,597,268"
"Arkansas","7 - June 11-16, 2020","907424","113990","40.5","5.1","2239915","2,246,527"
"California","7 - June 11-16, 2020","16014564","784629","53.6","2.6","29886293","29,939,021"
"Colorado","7 - June 11-16, 2020","2109469","193049","47.5","4.3","4442472","4,454,718"
"Connecticut","7 - June 11-16, 2020","1278858","122591","46.9","4.5","2728664","2,732,423"
"Delaware","7 - June 11-16, 2020","304172","30525","40.4","4.1","753722","754,637"
"District of Columbia","7 - June 11-16, 2020","226091","29978","41.7","5.5","542567","542,635"
"Florida","7 - June 11-16, 2020","8123349","578719","47.7","3.4","17024213","17,085,385"
"Georgia","7 - June 11-16, 2020","3708037","303223","46.7","3.8","7947212","7,955,983"
"Hawaii","7 - June 11-16, 2020","526430","57839","49.4","5.6","1065248","1,073,229"
"Idaho","7 - June 11-16, 2020","587959","66308","43.8","4.9","1342579","1,343,198"
"Illinois","7 - June 11-16, 2020","4803734","295204","50.6","3.1","9494680","9,546,424"
"Indiana","7 - June 11-16, 2020","2255974","202113","45.3","4","4979663","5,015,550"
"Iowa","7 - June 11-16, 2020","887954","97520","38.1","4.2","2329858","2,342,905"
"Kansas","7 - June 11-16, 2020","921443","98447","43.1","4.6","2137980","2,140,957"
"Kentucky","7 - June 11-16, 2020","1486062","140053","44.5","4.2","3336218","3,344,102"
"Louisiana","7 - June 11-16, 2020","1870151","155367","54.6","4.5","3426862","3,431,432"
"Maine","7 - June 11-16, 2020","459529","45084","43.2","4.2","1064257","1,065,620"
"Maryland","7 - June 11-16, 2020","1926330","174321","42.1","3.8","4573952","4,586,920"
"Massachusetts","7 - June 11-16, 2020","2497349","185018","47.2","3.5","5288586","5,324,065"
"Michigan","7 - June 11-16, 2020","4278404","212661","56","2.8","7635481","7,644,458"
"Minnesota","7 - June 11-16, 2020","1944917","166783","46","3.9","4229125","4,241,624"
"Mississippi","7 - June 11-16, 2020","1162043","87324","53.8","4.1","2160829","2,189,670"
"Missouri","7 - June 11-16, 2020","1970943","191255","42.7","4.1","4615738","4,617,880"
"Montana","7 - June 11-16, 2020","298555","40065","36.4","4.9","819392","822,204"
"Nebraska","7 - June 11-16, 2020","476947","46703","33.7","3.3","1413594","1,418,191"
"Nevada","7 - June 11-16, 2020","1414417","60726","59.1","2.5","2393892","2,399,457"
"New Hampshire","7 - June 11-16, 2020","473223","56271","44.1","5.3","1071917","1,073,014"
"New Jersey","7 - June 11-16, 2020","3273463","276737","48.5","4.1","6743453","6,776,822"
"New Mexico","7 - June 11-16, 2020","688247","76854","43.3","4.8","1589218","1,589,574"
"New York","7 - June 11-16, 2020","7817411","547393","52.9","3.7","14771394","14,847,080"
"North Carolina","7 - June 11-16, 2020","3390615","310200","42.3","3.9","8011774","8,017,566"
"North Dakota","7 - June 11-16, 2020","224699","42926","40.1","7.7","559761","561,016"
"Ohio","7 - June 11-16, 2020","3890918","494502","44.1","5.6","8818571","8,822,539"
"Oklahoma","7 - June 11-16, 2020","1162700","121680","40.2","4.2","2894516","2,916,436"
"Oregon","7 - June 11-16, 2020","1704613","150771","51.6","4.6","3301848","3,302,727"
"Pennsylvania","7 - June 11-16, 2020","4808634","387013","49.5","4","9710510","9,776,154"
