"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","10 - July 2-7, 2020","123605981","1311531","49.9","0.5","247892900","249,170,916"
" -> States","","","","","","","--"
"Alabama","10 - July 2-7, 2020","1789599","135152","48.3","3.6","3707471","3,717,378"
"Alaska","10 - July 2-7, 2020","240302","19438","45.9","3.7","523994","524,925"
"Arizona","10 - July 2-7, 2020","2424713","169350","43.5","3","5570430","5,597,268"
"Arkansas","10 - July 2-7, 2020","915556","74793","40.8","3.3","2242068","2,246,527"
"California","10 - July 2-7, 2020","17155336","589744","57.5","2","29850746","29,939,021"
"Colorado","10 - July 2-7, 2020","2311968","130516","52.2","2.9","4427609","4,454,718"
"Connecticut","10 - July 2-7, 2020","1439158","88068","52.8","3.2","2726391","2,732,423"
"Delaware","10 - July 2-7, 2020","324476","33499","43.1","4.5","752545","754,637"
"District of Columbia","10 - July 2-7, 2020","187613","23133","34.6","4.3","541849","542,635"
"Florida","10 - July 2-7, 2020","8488331","483041","49.8","2.8","17041590","17,085,385"
"Georgia","10 - July 2-7, 2020","4090532","286455","51.5","3.6","7946382","7,955,983"
"Hawaii","10 - July 2-7, 2020","650712","44467","61.6","4","1057191","1,073,229"
"Idaho","10 - July 2-7, 2020","528668","44307","39.4","3.3","1340125","1,343,198"
"Illinois","10 - July 2-7, 2020","4125258","304362","43.3","3.2","9523202","9,546,424"
"Indiana","10 - July 2-7, 2020","2406743","160944","48.1","3.2","5006834","5,015,550"
"Iowa","10 - July 2-7, 2020","911819","86900","39","3.7","2336243","2,342,905"
"Kansas","10 - July 2-7, 2020","867355","76604","40.7","3.6","2130512","2,140,957"
"Kentucky","10 - July 2-7, 2020","1496311","104157","44.9","3.1","3329703","3,344,102"
