"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","2 - May 7-12, 2020","117913989","2119807","47.5","0.9","248364689","249,170,916"
" -> States","","","","","","","--"
"Alabama","2 - May 7-12, 2020","1648851","188225","44.4","5.1","3716162","3,717,378"
"Alaska","2 - May 7-12, 2020","239409","24617","45.6","4.7","524547","524,925"
"Arizona","2 - May 7-12, 2020","2383738","248282","42.7","4.4","5581483","5,597,268"
"Arkansas","2 - May 7-12, 2020","866958","114043","39","5","2224908","2,246,527"
"California","2 - May 7-12, 2020","16264632","939073","54.5","3.1","29853969","29,939,021"
"Colorado","2 - May 7-12, 2020","2214259","187488","49.8","4.2","4443722","4,454,718"
"Connecticut","2 - May 7-12, 2020","1261318","172381","46.2","6.3","2728308","2,732,423"
"Delaware","2 - May 7-12, 2020","344999","37127","45.8","4.9","753348","754,637"
"District of Columbia","2 - May 7-12, 2020","180436","30800","33.3","5.7","542635","542,635"
"Florida","2 - May 7-12, 2020","7943162","670936","46.5","3.9","17068553","17,085,385"
"Georgia","2 - May 7-12, 2020","3605689","439757","45.4","5.5","7933318","7,955,983"
"Hawaii","2 - May 7-12, 2020","632785","59515","59.2","5.6","1069293","1,073,229"
"Idaho","2 - May 7-12, 2020","503700","51316","37.5","3.8","1342732","1,343,198"
"Illinois","2 - May 7-12, 2020","4369656","424127","46.3","4.5","9430139","9,546,424"
"Indiana","2 - May 7-12, 2020","2047540","310311","41","6.2","4995707","5,015,550"
"Iowa","2 - May 7-12, 2020","914389","119088","39.1","5.1","2337184","2,342,905"
"Kansas","2 - May 7-12, 2020","751894","117905","35.2","5.5","2134164","2,140,957"
"Kentucky","2 - May 7-12, 2020","1563948","180977","46.9","5.4","3337649","3,344,102"
"Louisiana","2 - May 7-12, 2020","1908008","222053","55.7","6.5","3425152","3,431,432"
"Maine","2 - May 7-12, 2020","472828","53657","44.4","5","1065620","1,065,620"
"Maryland","2 - May 7-12, 2020","1852075","231458","40.8","5","4535697","4,586,920"
"Massachusetts","2 - May 7-12, 2020","2465408","217220","46.9","3.9","5253745","5,324,065"
"Michigan","2 - May 7-12, 2020","4215893","282219","55.2","3.7","7637334","7,644,458"
"Minnesota","2 - May 7-12, 2020","1716789","209509","40.6","4.9","4233240","4,241,624"
"Mississippi","2 - May 7-12, 2020","995590","132681","45.5","6.1","2187958","2,189,670"
"Missouri","2 - May 7-12, 2020","1972213","259942","42.8","5.6","4609124","4,617,880"
"Montana","2 - May 7-12, 2020","314065","42237","38.4","5.2","818932","822,204"
"Nebraska","2 - May 7-12, 2020","563415","68904","39.8","4.9","1415973","1,418,191"
"Nevada","2 - May 7-12, 2020","1336837","122119","55.8","5.1","2394496","2,399,457"
"New Hampshire","2 - May 7-12, 2020","479252","52578","44.8","4.9","1069098","1,073,014"
