"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","12 - July 16-21, 2020","126554411","1457948","51.1","0.6","247855856","249,170,916"
" -> States","","","","","","","--"
"Alabama","12 - July 16-21, 2020","1689166","149103","45.8","4.1","3686297","3,717,378"
"Alaska","12 - July 16-21, 2020","256356","20925","49.1","4","522612","524,925"
"Arizona","12 - July 16-21, 2020","2841364","193646","51.2","3.4","5551517","5,597,268"
"Arkansas","12 - July 16-21, 2020","980085","94012","43.8","4.2","2239763","2,246,527"
"California","12 - July 16-21, 2020","17489568","529057","58.6","1.8","29862562","29,939,021"
"Colorado","12 - July 16-21, 2020","2104083","152662","47.3","3.4","4446157","4,454,718"
"Connecticut","12 - July 16-21, 2020","1329415","99349","48.8","3.6","2726608","2,732,423"
"Delaware","12 - July 16-21, 2020","366233","34566","49.1","4.6","745704","754,637"
"District of Columbia","12 - July 16-21, 2020","202290","22331","37.3","4.1","542535","542,635"
"Florida","12 - July 16-21, 2020","8699638","502099","51.2","2.9","16990634","17,085,385"
"Georgia","12 - July 16-21, 2020","3532408","271412","44.8","3.4","7892553","7,955,983"
"Hawaii","12 - July 16-21, 2020","594789","53462","55.8","5","1065935","1,073,229"
"Idaho","12 - July 16-21, 2020","567330","51943","42.3","3.9","1341100","1,343,198"
"Illinois","12 - July 16-21, 2020","4979668","299324","52.5","3.1","9489503","9,546,424"
"Indiana","12 - July 16-21, 2020","2527838","220508","50.5","4.4","5006908","5,015,550"
"Iowa","12 - July 16-21, 2020","932859","103319","39.9","4.4","2339008","2,342,905"
"Kansas","12 - July 16-21, 2020","975587","93739","45.8","4.3","2132417","2,140,957"
"Kentucky","12 - July 16-21, 2020","1613269","170789","48.4","5.1","3335341","3,344,102"
"Louisiana","12 - July 16-21, 2020","1865288","163091","54.6","4.7","3415597","3,431,432"
"Maine","12 - July 16-21, 2020","496415","53236","46.9","5","1059152","1,065,620"
"Maryland","12 - July 16-21, 2020","2232372","189754","49.1","4.1","4547344","4,586,920"
"Massachusetts","12 - July 16-21, 2020","2707677","210246","51.4","4.1","5269935","5,324,065"
"Michigan","12 - July 16-21, 2020","4238259","224209","56","3","7571211","7,644,458"
"Minnesota","12 - July 16-21, 2020","2082627","145277","49.3","3.5","4221457","4,241,624"
"Mississippi","12 - July 16-21, 2020","1227535","85740","56.2","3.9","2184207","2,189,670"
"Missouri","12 - July 16-21, 2020","2176367","161077","47.3","3.5","4606002","4,617,880"
"Montana","12 - July 16-21, 2020","418015","35494","50.9","4.3","820778","822,204"
"Nebraska","12 - July 16-21, 2020","538990","57755","38","4.1","1417312","1,418,191"
"Nevada","12 - July 16-21, 2020","1567721","79092","65.6","3.3","2388174","2,399,457"
"New Hampshire","12 - July 16-21, 2020","498741","46991","46.5","4.4","1072792","1,073,014"
"New Jersey","12 - July 16-21, 2020","3724695","274776","55.4","4.1","6725699","6,776,822"
"New Mexico","12 - July 16-21, 2020","767252","78496","48.5","4.9","1581797","1,589,574"
"New York","12 - July 16-21, 2020","8544159","454384","58.1","3.1","14710546","14,847,080"
"North Carolina","12 - July 16-21, 2020","3659128","288904","45.7","3.6","8004822","8,017,566"
